Date,Asset_ID,Daily_Degradation,Cumulative_Degradation,AHI_Predicted,Power_kWh,Model,Role
2025-01-01,FCU_01,0.04066839,0.0407,59.9293,1.7701,RF,train
2025-01-02,FCU_01,0.04385789,0.0845,59.8855,2.0191,RF,train
2025-01-03,FCU_01,0.0407832,0.1253,59.8447,1.881,RF,train
2025-01-04,FCU_01,0.04241922,0.1677,59.8023,1.9565,RF,train
2025-01-05,FCU_01,0.04100425,0.2087,59.7613,1.8798,RF,train
2025-01-06,FCU_01,0.04109714,0.2498,59.7202,1.8981,RF,train
2025-01-07,FCU_01,0.04226043,0.2921,59.6779,1.942,RF,train
2025-01-08,FCU_01,0.04358051,0.3357,59.6343,1.9842,RF,train
2025-01-09,FCU_01,0.04387968,0.3796,59.5904,2.0095,RF,train
2025-01-10,FCU_01,0.04353887,0.4231,59.5469,1.9755,RF,train
2025-01-11,FCU_01,0.04219013,0.4653,59.5047,1.9239,RF,train
2025-01-12,FCU_01,0.0438625,0.5091,59.4609,2.0018,RF,train
2025-01-13,FCU_01,0.04115966,0.5503,59.4197,1.8792,RF,train
2025-01-14,FCU_01,0.04365456,0.594,59.376,1.9841,RF,train
2025-01-15,FCU_01,0.04348514,0.6374,59.3326,1.9917,RF,train
2025-01-16,FCU_01,0.04487109,0.6823,59.2877,2.0485,RF,train
2025-01-17,FCU_01,0.0450553,0.7274,59.2426,2.0431,RF,train
2025-01-18,FCU_01,0.04517072,0.7725,59.1975,2.0359,RF,train
2025-01-19,FCU_01,0.04750148,0.82,59.15,2.1708,RF,train
2025-01-20,FCU_01,0.04779896,0.8678,59.1022,2.1483,RF,train
2025-01-21,FCU_01,0.04792776,0.9158,59.0542,2.161,RF,train
2025-01-22,FCU_01,0.0475876,0.9634,59.0066,2.1054,RF,train
2025-01-23,FCU_01,0.04927618,1.0126,58.9574,2.2256,RF,train
2025-01-24,FCU_01,0.05009748,1.0627,58.9073,2.3074,RF,train
2025-01-25,FCU_01,0.04907656,1.1118,58.8582,2.1837,RF,train
2025-01-26,FCU_01,0.04947108,1.1613,58.8087,2.1728,RF,train
2025-01-27,FCU_01,0.05060332,1.2119,58.7581,2.3087,RF,train
2025-01-28,FCU_01,0.05014976,1.262,58.708,2.2442,RF,train
2025-01-29,FCU_01,0.05083731,1.3129,58.6571,2.2394,RF,train
2025-01-30,FCU_01,0.05112676,1.364,58.606,2.4111,RF,train
2025-01-31,FCU_01,0.05177958,1.4158,58.5542,2.2749,RF,train
2025-02-01,FCU_01,0.05375657,1.4695,58.5005,2.4525,RF,train
2025-02-02,FCU_01,0.05435905,1.5239,58.4461,2.4104,RF,train
2025-02-03,FCU_01,0.05515621,1.579,58.391,2.3246,RF,train
2025-02-04,FCU_01,0.05654286,1.6356,58.3344,2.4955,RF,train
2025-02-05,FCU_01,0.05725282,1.6928,58.2772,2.5492,RF,train
2025-02-06,FCU_01,0.05808206,1.7509,58.2191,2.5758,RF,train
2025-02-07,FCU_01,0.05838933,1.8093,58.1607,2.5475,RF,train
2025-02-08,FCU_01,0.06191744,1.8712,58.0988,2.7341,RF,train
2025-02-09,FCU_01,0.06110993,1.9323,58.0377,2.6614,RF,train
2025-02-10,FCU_01,0.06156068,1.9939,57.9761,2.6959,RF,train
2025-02-11,FCU_01,0.0642073,2.0581,57.9119,2.8643,RF,train
2025-02-12,FCU_01,0.06480144,2.1229,57.8471,2.8473,RF,train
2025-02-13,FCU_01,0.06543365,2.1883,57.7817,2.77,RF,train
2025-02-14,FCU_01,0.06692634,2.2553,57.7147,2.8256,RF,train
2025-02-15,FCU_01,0.06716024,2.3224,57.6476,2.9099,RF,train
2025-02-16,FCU_01,0.06669309,2.3891,57.5809,2.9324,RF,train
2025-02-17,FCU_01,0.06870656,2.4578,57.5122,3.0098,RF,train
2025-02-18,FCU_01,0.06921762,2.527,57.443,3.0183,RF,train
2025-02-19,FCU_01,0.07018715,2.5972,57.3728,3.0193,RF,train
2025-02-20,FCU_01,0.07052103,2.6678,57.3022,3.1101,RF,train
2025-02-21,FCU_01,0.07079436,2.7385,57.2315,3.0356,RF,train
2025-02-22,FCU_01,0.07209866,2.8106,57.1594,3.0326,RF,train
2025-02-23,FCU_01,0.07340187,2.884,57.086,3.1532,RF,train
2025-02-24,FCU_01,0.07360398,2.9577,57.0123,3.1347,RF,train
2025-02-25,FCU_01,0.07626378,3.0339,56.9361,3.2731,RF,train
2025-02-26,FCU_01,0.07756352,3.1115,56.8585,3.2808,RF,train
2025-02-27,FCU_01,0.07832295,3.1898,56.7802,3.3601,RF,train
2025-02-28,FCU_01,0.07822243,3.268,56.702,3.3826,RF,train
2025-03-01,FCU_01,0.08038517,3.3484,56.6216,3.4847,RF,train
2025-03-02,FCU_01,0.08115106,3.4296,56.5404,3.5055,RF,train
2025-03-03,FCU_01,0.08159363,3.5112,56.4588,3.4455,RF,train
2025-03-04,FCU_01,0.08279846,3.594,56.376,3.6007,RF,train
2025-03-05,FCU_01,0.08325791,3.6772,56.2928,3.5212,RF,train
2025-03-06,FCU_01,0.08659662,3.7638,56.2062,3.7039,RF,train
2025-03-07,FCU_01,0.08856137,3.8524,56.1176,3.7862,RF,train
2025-03-08,FCU_01,0.08863395,3.941,56.029,3.7983,RF,train
2025-03-09,FCU_01,0.08901056,4.03,55.94,3.7544,RF,train
2025-03-10,FCU_01,0.08935395,4.1194,55.8506,3.7512,RF,train
2025-03-11,FCU_01,0.09022883,4.2096,55.7604,3.7521,RF,train
2025-03-12,FCU_01,0.09093346,4.3005,55.6695,3.8866,RF,train
2025-03-13,FCU_01,0.09290675,4.3934,55.5766,3.8505,RF,train
2025-03-14,FCU_01,0.09598567,4.4894,55.4806,4.1654,RF,train
2025-03-15,FCU_01,0.09666563,4.5861,55.3839,3.9518,RF,train
2025-03-16,FCU_01,0.0955894,4.6817,55.2883,4.0121,RF,train
2025-03-17,FCU_01,0.09760957,4.7793,55.1907,4.2039,RF,train
2025-03-18,FCU_01,0.1003036,4.8796,55.0904,4.2126,RF,train
2025-03-19,FCU_01,0.10004891,4.9796,54.9904,4.2646,RF,train
2025-03-20,FCU_01,0.10076418,5.0804,54.8896,4.3408,RF,train
2025-03-21,FCU_01,0.09999967,5.1804,54.7896,4.2534,RF,train
2025-03-22,FCU_01,0.09995647,5.2804,54.6896,4.1872,RF,train
2025-03-23,FCU_01,0.10424523,5.3846,54.5854,4.4605,RF,train
2025-03-24,FCU_01,0.10488359,5.4895,54.4805,4.3914,RF,train
2025-03-25,FCU_01,0.10027191,5.5898,54.3802,4.3423,RF,train
2025-03-26,FCU_01,0.10596534,5.6957,54.2743,4.4331,RF,train
2025-03-27,FCU_01,0.10639798,5.8021,54.1679,4.4816,RF,train
2025-03-28,FCU_01,0.10740433,5.9095,54.0605,4.5035,RF,train
2025-03-29,FCU_01,0.10746097,6.017,53.953,4.5222,RF,train
2025-03-30,FCU_01,0.10759952,6.1246,53.8454,4.4915,RF,train
2025-03-31,FCU_01,0.10939512,6.234,53.736,4.6064,RF,train
2025-04-01,FCU_01,0.10959341,6.3436,53.6264,4.5662,RF,train
2025-04-02,FCU_01,0.11265963,6.4562,53.5138,4.7495,RF,train
2025-04-03,FCU_01,0.1142606,6.5705,53.3995,4.7593,RF,train
2025-04-04,FCU_01,0.11679889,6.6873,53.2827,4.7052,RF,train
2025-04-05,FCU_01,0.11803614,6.8053,53.1647,4.9485,RF,train
2025-04-06,FCU_01,0.1179376,6.9233,53.0467,4.8722,RF,train
2025-04-07,FCU_01,0.11889211,7.0422,52.9278,4.9053,RF,train
2025-04-08,FCU_01,0.11895117,7.1611,52.8089,4.9107,RF,train
2025-04-09,FCU_01,0.11937281,7.2805,52.6895,4.988,RF,train
2025-04-10,FCU_01,0.11581846,7.3963,52.5737,4.9955,RF,train
2025-04-11,FCU_01,0.12020045,7.5165,52.4535,4.9997,RF,train
2025-04-12,FCU_01,0.12111241,7.6376,52.3324,4.9519,RF,train
2025-04-13,FCU_01,0.12455831,7.7622,52.2078,5.1859,RF,train
2025-04-14,FCU_01,0.12601581,7.8882,52.0818,5.1928,RF,train
2025-04-15,FCU_01,0.12710029,8.0153,51.9547,5.1864,RF,train
2025-04-16,FCU_01,0.12265423,8.1379,51.8321,5.324,RF,train
2025-04-17,FCU_01,0.13013785,8.2681,51.7019,5.325,RF,train
2025-04-18,FCU_01,0.13053231,8.3986,51.5714,5.4073,RF,train
2025-04-19,FCU_01,0.13030154,8.5289,51.4411,5.3522,RF,train
2025-04-20,FCU_01,0.13161743,8.6605,51.3095,5.4923,RF,train
2025-04-21,FCU_01,0.13196063,8.7925,51.1775,5.448,RF,train
2025-04-22,FCU_01,0.13324146,8.9257,51.0443,5.4372,RF,train
2025-04-23,FCU_01,0.13470742,9.0604,50.9096,5.5498,RF,train
2025-04-24,FCU_01,0.13417749,9.1946,50.7754,5.5614,RF,train
2025-04-25,FCU_01,0.13667285,9.3313,50.6387,5.6055,RF,train
2025-04-26,FCU_01,0.13850359,9.4698,50.5002,5.6932,RF,train
2025-04-27,FCU_01,0.13749721,9.6073,50.3627,5.5911,RF,train
2025-04-28,FCU_01,0.13812477,9.7454,50.2246,5.6393,RF,train
2025-04-29,FCU_01,0.13919754,9.8846,50.0854,5.7445,RF,train
2025-04-30,FCU_01,0.1385301,10.0231,49.9469,5.6489,RF,train
2025-05-01,FCU_01,0.13913904,10.1623,49.8077,5.6245,RF,train
2025-05-02,FCU_01,0.1415898,10.3039,49.6661,5.8545,RF,train
2025-05-03,FCU_01,0.14385368,10.4477,49.5223,5.839,RF,train
2025-05-04,FCU_01,0.14531255,10.593,49.377,5.7984,RF,train
2025-05-05,FCU_01,0.14569771,10.7387,49.2313,5.9306,RF,train
2025-05-06,FCU_01,0.14695954,10.8857,49.0843,6.0374,RF,train
2025-05-07,FCU_01,0.14664517,11.0323,48.9377,5.9375,RF,train
2025-05-08,FCU_01,0.14634538,11.1787,48.7913,5.8867,RF,train
2025-05-09,FCU_01,0.15013138,11.3288,48.6412,6.125,RF,train
2025-05-10,FCU_01,0.1517586,11.4806,48.4894,6.1492,RF,train
2025-05-11,FCU_01,0.15137298,11.632,48.338,6.1398,RF,train
2025-05-12,FCU_01,0.1503854,11.7823,48.1877,6.0086,RF,train
2025-05-13,FCU_01,0.1543908,11.9367,48.0333,6.1845,RF,train
2025-05-14,FCU_01,0.15362759,12.0904,47.8796,6.1864,RF,train
2025-05-15,FCU_01,0.15762933,12.248,47.722,6.2409,RF,train
2025-05-16,FCU_01,0.15899554,12.407,47.563,6.3095,RF,train
2025-05-17,FCU_01,0.1582561,12.5652,47.4048,6.2614,RF,train
2025-05-18,FCU_01,0.15834576,12.7236,47.2464,6.3406,RF,train
2025-05-19,FCU_01,0.15796973,12.8816,47.0884,6.2456,RF,train
2025-05-20,FCU_01,0.1616832,13.0432,46.9268,6.4838,RF,train
2025-05-21,FCU_01,0.16216987,13.2054,46.7646,6.4184,RF,train
2025-05-22,FCU_01,0.16291209,13.3683,46.6017,6.2843,RF,train
2025-05-23,FCU_01,0.16273796,13.5311,46.4389,6.5124,RF,train
2025-05-24,FCU_01,0.16305338,13.6941,46.2759,6.502,RF,train
2025-05-25,FCU_01,0.16129833,13.8554,46.1146,6.3932,RF,train
2025-05-26,FCU_01,0.16148176,14.0169,45.9531,6.3997,RF,train
2025-05-27,FCU_01,0.16394596,14.1808,45.7892,6.5536,RF,train
2025-05-28,FCU_01,0.16477215,14.3456,45.6244,6.5808,RF,train
2025-05-29,FCU_01,0.16298595,14.5086,45.4614,6.4563,RF,train
2025-05-30,FCU_01,0.16301416,14.6716,45.2984,6.4405,RF,train
2025-05-31,FCU_01,0.16359105,14.8352,45.1348,6.4725,RF,train
2025-06-01,FCU_01,0.16447603,14.9997,44.9703,6.5009,RF,train
2025-06-02,FCU_01,0.16413896,15.1638,44.8062,6.4725,RF,train
2025-06-03,FCU_01,0.16442124,15.3282,44.6418,6.4779,RF,train
2025-06-04,FCU_01,0.16566982,15.4939,44.4761,6.5423,RF,train
2025-06-05,FCU_01,0.16654003,15.6604,44.3096,6.565,RF,train
2025-06-06,FCU_01,0.16735552,15.8278,44.1422,6.6259,RF,train
2025-06-07,FCU_01,0.16703292,15.9948,43.9752,6.5688,RF,train
